## name = blanked600
Time	A1	B1	C1	D1	E1	F1	G1	H1
0:04:55	0.000	0.014	0.022	0.014	0.018	0.024	0.012	0.017
0:09:55	0.000	0.013	0.022	0.015	0.016	0.023	0.012	0.017
0:14:55	0.000	0.013	0.023	0.015	0.017	0.024	0.012	0.017
0:19:55	0.000	0.014	0.024	0.015	0.017	0.024	0.013	0.018
0:24:55	0.000	0.015	0.025	0.017	0.019	0.025	0.014	0.020
0:29:55	0.000	0.016	0.027	0.018	0.020	0.029	0.016	0.022
0:34:55	0.000	0.017	0.028	0.019	0.021	0.028	0.017	0.023
0:39:55	0.000	0.019	0.030	0.021	0.023	0.029	0.019	0.026
0:44:55	0.000	0.021	0.032	0.022	0.025	0.031	0.021	0.028
0:49:55	0.000	0.023	0.035	0.025	0.028	0.033	0.023	0.031
0:54:55	0.000	0.025	0.038	0.027	0.031	0.036	0.025	0.035
0:59:55	0.000	0.028	0.042	0.030	0.034	0.039	0.027	0.038
1:04:55	0.000	0.031	0.045	0.033	0.037	0.042	0.030	0.043
1:09:55	0.000	0.034	0.048	0.037	0.040	0.047	0.035	0.048
1:14:55	0.000	0.039	0.054	0.041	0.045	0.051	0.039	0.053
1:19:55	0.000	0.043	0.058	0.047	0.050	0.057	0.043	0.059
1:24:55	0.000	0.048	0.065	0.055	0.056	0.063	0.049	0.067
1:29:55	0.000	0.054	0.071	0.061	0.064	0.070	0.056	0.074
1:34:55	0.000	0.060	0.078	0.068	0.071	0.079	0.064	0.082
1:39:55	0.000	0.067	0.088	0.075	0.078	0.084	0.072	0.091
1:44:55	0.000	0.075	0.094	0.083	0.088	0.095	0.079	0.101
1:49:55	0.000	0.084	0.104	0.092	0.097	0.106	0.089	0.111
1:54:55	0.000	0.093	0.115	0.104	0.108	0.116	0.100	0.123
1:59:55	0.000	0.104	0.128	0.116	0.119	0.127	0.108	0.133
2:04:55	0.000	0.113	0.136	0.127	0.131	0.138	0.120	0.147
2:09:55	0.000	0.124	0.147	0.137	0.142	0.144	0.131	0.158
2:14:55	0.000	0.135	0.159	0.150	0.156	0.154	0.139	0.169
2:19:55	0.000	0.148	0.173	0.162	0.166	0.170	0.156	0.182
2:24:55	0.000	0.159	0.184	0.172	0.177	0.183	0.165	0.193
2:29:55	0.000	0.171	0.197	0.183	0.190	0.189	0.178	0.204
2:34:55	0.000	0.183	0.206	0.198	0.202	0.197	0.186	0.215
2:39:55	0.000	0.195	0.220	0.206	0.210	0.213	0.198	0.221
2:44:55	0.000	0.204	0.224	0.218	0.219	0.218	0.210	0.231
2:49:55	0.000	0.214	0.237	0.226	0.229	0.229	0.217	0.237
2:54:55	0.000	0.224	0.248	0.233	0.237	0.238	0.226	0.242
2:59:55	0.000	0.232	0.256	0.237	0.246	0.249	0.235	0.251
3:04:55	0.000	0.240	0.263	0.252	0.255	0.260	0.243	0.258
3:09:55	0.000	0.250	0.274	0.256	0.262	0.265	0.251	0.269
3:14:55	0.000	0.259	0.282	0.265	0.272	0.274	0.261	0.277
3:19:55	0.000	0.271	0.295	0.272	0.283	0.284	0.269	0.288
3:24:55	0.000	0.275	0.303	0.284	0.292	0.292	0.278	0.298
3:29:55	0.000	0.283	0.309	0.293	0.303	0.305	0.285	0.306
3:34:55	0.000	0.292	0.324	0.302	0.311	0.313	0.296	0.314
3:39:55	0.000	0.301	0.332	0.310	0.320	0.319	0.303	0.323
3:44:55	0.000	0.309	0.338	0.318	0.328	0.332	0.312	0.330
3:49:55	0.000	0.318	0.347	0.330	0.338	0.339	0.324	0.339
3:54:55	0.000	0.325	0.356	0.337	0.347	0.350	0.330	0.347
3:59:55	0.000	0.329	0.362	0.346	0.353	0.357	0.335	0.354
4:04:55	0.000	0.341	0.370	0.352	0.359	0.364	0.347	0.360
4:09:55	0.000	0.347	0.374	0.360	0.365	0.373	0.353	0.366
4:14:55	0.000	0.351	0.378	0.366	0.371	0.381	0.358	0.374
4:19:55	0.000	0.359	0.385	0.372	0.375	0.382	0.365	0.379
4:24:55	0.000	0.361	0.390	0.375	0.379	0.386	0.369	0.383
4:29:55	0.000	0.368	0.394	0.383	0.386	0.385	0.376	0.388
4:34:55	0.000	0.372	0.399	0.389	0.391	0.394	0.382	0.394
4:39:55	0.000	0.376	0.404	0.392	0.393	0.402	0.387	0.401
4:44:55	0.000	0.385	0.409	0.399	0.403	0.409	0.393	0.403
4:49:55	0.000	0.389	0.416	0.402	0.405	0.411	0.396	0.409
4:54:55	0.000	0.391	0.415	0.405	0.404	0.414	0.403	0.412
4:59:55	0.000	0.390	0.422	0.412	0.413	0.419	0.405	0.417
5:04:55	0.000	0.402	0.425	0.416	0.419	0.415	0.408	0.422
5:09:55	0.000	0.402	0.433	0.420	0.420	0.430	0.413	0.424
5:14:55	0.000	0.413	0.437	0.426	0.426	0.436	0.420	0.430
5:19:55	0.000	0.414	0.437	0.430	0.429	0.437	0.423	0.433
5:24:55	0.000	0.424	0.443	0.439	0.432	0.438	0.427	0.437
5:29:55	0.000	0.426	0.447	0.444	0.437	0.442	0.431	0.440
5:34:55	0.000	0.432	0.449	0.445	0.441	0.449	0.434	0.441
5:39:55	0.000	0.433	0.451	0.448	0.442	0.448	0.436	0.446
5:44:55	0.000	0.439	0.449	0.454	0.446	0.449	0.441	0.449
5:49:55	0.000	0.441	0.451	0.454	0.447	0.459	0.445	0.453
5:54:55	0.000	0.442	0.456	0.457	0.452	0.460	0.446	0.459
5:59:55	0.000	0.446	0.459	0.461	0.456	0.467	0.450	0.467
6:04:55	0.000	0.449	0.464	0.463	0.459	0.466	0.455	0.472
6:09:55	0.000	0.452	0.472	0.469	0.463	0.472	0.461	0.477
6:14:55	0.000	0.454	0.469	0.470	0.466	0.473	0.463	0.481
6:19:55	0.000	0.459	0.477	0.472	0.468	0.482	0.468	0.485
6:24:55	0.000	0.465	0.484	0.480	0.473	0.486	0.471	0.491
6:29:55	0.000	0.470	0.485	0.486	0.478	0.484	0.476	0.493
6:34:55	0.000	0.469	0.488	0.486	0.481	0.490	0.479	0.498
6:39:55	0.000	0.475	0.490	0.489	0.489	0.495	0.483	0.501
6:44:55	0.000	0.477	0.498	0.492	0.494	0.499	0.486	0.504
6:49:55	0.000	0.481	0.500	0.496	0.497	0.503	0.491	0.508
6:54:55	0.000	0.484	0.502	0.500	0.501	0.504	0.496	0.511
6:59:55	0.000	0.486	0.503	0.500	0.505	0.508	0.498	0.517
7:04:55	0.000	0.489	0.508	0.509	0.506	0.511	0.504	0.523
7:09:55	0.000	0.491	0.511	0.515	0.508	0.516	0.508	0.527
7:14:55	0.000	0.495	0.514	0.515	0.513	0.518	0.512	0.530
7:19:55	0.000	0.498	0.518	0.521	0.519	0.523	0.520	0.538
7:24:55	0.000	0.500	0.520	0.525	0.524	0.527	0.521	0.541
7:29:55	0.000	0.504	0.524	0.530	0.526	0.535	0.528	0.545
7:34:55	0.000	0.507	0.527	0.534	0.532	0.538	0.534	0.548
7:39:55	0.000	0.511	0.533	0.542	0.539	0.543	0.543	0.554
